d_model,seq_len,fwd_time_ms,bwd_time_ms,mem_mb
16,256,0.1626860809326172,0.3656022399663925,467.25048828125
16,1024,0.21648479461669923,0.4008988791704178,442.37548828125
16,4096,3.2506143188476564,4.668464641571045,1048.75048828125
16,8192,13.17064453125,18.360616359710694,2978.25048828125
16,16384,52.716767578125,72.4039729309082,10676.25048828125
32,256,0.18030656814575197,0.398754880130291,411.75048828125
32,1024,0.22263904571533202,0.4106172809004784,444.50048828125
32,4096,3.451696472167969,4.988197765350342,1057.25048828125
32,8192,15.641556396484376,22.247633266448975,2996.25048828125
32,16384,54.6510791015625,77.90091438293457,10712.25048828125
64,256,0.18370624542236327,0.3800361606478691,420.75048828125
64,1024,0.28779296875,0.437362559735775,448.75048828125
64,4096,2.9029751586914063,5.346784968376159,1074.25048828125
64,8192,13.656845703125,21.97006555557251,3032.25048828125
64,16384,60.0295703125,89.5017079925537,10784.25048828125
128,256,0.1811631965637207,0.37954207926988603,438.75048828125
128,1024,0.3764521789550781,0.5734608006477356,457.25048828125
128,4096,4.597415771484375,8.40484185218811,1108.25048828125
128,8192,20.090460205078124,33.61973449707031,3104.25048828125
128,16384,87.3466796875,136.7169497680664,10928.25048828125
